iid,hw_od,chosen,ln_dwork,SDE_work,SDL_work,PL_work,ln_dlunch,SDE_lunch,SDL_lunch,K_lunch1,K_lunch2,ln_dafterwork,ln_dwork*ln_afterwork,t_commute,c_commute,M_commute2,t_worklunch,alternative
2985,,False,0.2571997588890862,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.4435227133440647,0.7720588235294118,0.3157894736842105,1.0,0.8333333333333334,"Inside the CBD,11:00-11:30"
2985,,False,0.2571997588890862,0.0,0.0,0.0,1.0,0.33333333333333337,0.0,1.0,0.0,1.0,0.4435227133440647,0.7720588235294118,0.3157894736842105,1.0,0.8333333333333334,"Inside the CBD,11:30-12:00"
2985,,False,0.2571997588890862,0.0,0.0,0.0,1.0,0.0,0.2,1.0,0.0,1.0,0.4435227133440647,0.7720588235294118,0.3157894736842105,1.0,0.8333333333333334,"Inside the CBD,12:00-12:30"
2985,,False,0.2571997588890862,0.0,0.0,0.0,1.0,0.0,0.6000000000000001,1.0,0.0,1.0,0.4435227133440647,0.7720588235294118,0.3157894736842105,1.0,0.8333333333333334,"Inside the CBD,12:30-13:00"
2985,,False,0.2571997588890862,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.4435227133440647,0.7720588235294118,0.3157894736842105,1.0,0.8333333333333334,"Inside the CBD,13:00-13:30"
2985,,False,0.23559121140239503,0.0,0.0,0.0,0.8454879529219204,1.0,0.0,0.0,1.0,1.0,0.41975334875821146,0.7720588235294118,0.3157894736842105,1.0,1.0,"Outside the CBD,11:00-11:30"
2985,,False,0.23559121140239503,0.0,0.0,0.0,0.8454879529219204,0.33333333333333337,0.0,0.0,1.0,1.0,0.41975334875821146,0.7720588235294118,0.3157894736842105,1.0,1.0,"Outside the CBD,11:30-12:00"
2985,,False,0.23559121140239503,0.0,0.0,0.0,0.8454879529219204,0.0,0.2,0.0,1.0,1.0,0.41975334875821146,0.7720588235294118,0.3157894736842105,1.0,1.0,"Outside the CBD,12:00-12:30"
2985,,False,0.23559121140239503,0.0,0.0,0.0,0.8454879529219204,0.0,0.6000000000000001,0.0,1.0,1.0,0.41975334875821146,0.7720588235294118,0.3157894736842105,1.0,1.0,"Outside the CBD,12:30-13:00"
2985,,False,0.23559121140239503,0.0,0.0,0.0,0.8454879529219204,0.0,1.0,0.0,1.0,1.0,0.41975334875821146,0.7720588235294118,0.3157894736842105,1.0,1.0,"Outside the CBD,13:00-13:30"
2985,,False,0.40933603397123197,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6108723508608151,0.7720588235294118,0.3157894736842105,1.0,0.0,"Workplace,11:00-11:30"
2985,,False,0.40933603397123197,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,1.0,0.6108723508608151,0.7720588235294118,0.3157894736842105,1.0,0.0,"Workplace,11:30-12:00"
2985,,True,0.40933603397123197,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.6108723508608151,0.7720588235294118,0.3157894736842105,1.0,0.0,"Workplace,12:00-12:30"
2985,,False,0.40933603397123197,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,1.0,0.6108723508608151,0.7720588235294118,0.3157894736842105,1.0,0.0,"Workplace,12:30-13:00"
2985,,False,0.40933603397123197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6108723508608151,0.7720588235294118,0.3157894736842105,1.0,0.0,"Workplace,13:00-13:30"
11917,,False,0.5495100109749984,0.36125654450261785,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.733374628746521,0.5674136318972784,0.4852941176470588,0.21052631578947367,1.0,0.8333333333333334,"Inside the CBD,11:00-11:30"
11917,,False,0.5495100109749984,0.36125654450261785,0.0,0.0,1.0,0.33333333333333337,0.0,1.0,0.0,0.733374628746521,0.5674136318972784,0.4852941176470588,0.21052631578947367,1.0,0.8333333333333334,"Inside the CBD,11:30-12:00"
11917,,False,0.5495100109749984,0.36125654450261785,0.0,0.0,1.0,0.0,0.2,1.0,0.0,0.733374628746521,0.5674136318972784,0.4852941176470588,0.21052631578947367,1.0,0.8333333333333334,"Inside the CBD,12:00-12:30"
11917,,False,0.5495100109749984,0.36125654450261785,0.0,0.0,1.0,0.0,0.6000000000000001,1.0,0.0,0.733374628746521,0.5674136318972784,0.4852941176470588,0.21052631578947367,1.0,0.8333333333333334,"Inside the CBD,12:30-13:00"
11917,,False,0.5495100109749984,0.36125654450261785,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.733374628746521,0.5674136318972784,0.4852941176470588,0.21052631578947367,1.0,0.8333333333333334,"Inside the CBD,13:00-13:30"
11917,,False,0.5338580109713054,0.36125654450261785,0.0,0.0,0.8454879529219204,1.0,0.0,0.0,1.0,0.733374628746521,0.5518345158851354,0.4852941176470588,0.21052631578947367,1.0,1.0,"Outside the CBD,11:00-11:30"
11917,,False,0.5338580109713054,0.36125654450261785,0.0,0.0,0.8454879529219204,0.33333333333333337,0.0,0.0,1.0,0.733374628746521,0.5518345158851354,0.4852941176470588,0.21052631578947367,1.0,1.0,"Outside the CBD,11:30-12:00"
11917,,False,0.5338580109713054,0.36125654450261785,0.0,0.0,0.8454879529219204,0.0,0.2,0.0,1.0,0.733374628746521,0.5518345158851354,0.4852941176470588,0.21052631578947367,1.0,1.0,"Outside the CBD,12:00-12:30"
11917,,False,0.5338580109713054,0.36125654450261785,0.0,0.0,0.8454879529219204,0.0,0.6000000000000001,0.0,1.0,0.733374628746521,0.5518345158851354,0.4852941176470588,0.21052631578947367,1.0,1.0,"Outside the CBD,12:30-13:00"
11917,,False,0.5338580109713054,0.36125654450261785,0.0,0.0,0.8454879529219204,0.0,1.0,0.0,1.0,0.733374628746521,0.5518345158851354,0.4852941176470588,0.21052631578947367,1.0,1.0,"Outside the CBD,13:00-13:30"
11917,,False,0.6625129136669858,0.36125654450261785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.733374628746521,0.6798903332985033,0.4852941176470588,0.21052631578947367,1.0,0.0,"Workplace,11:00-11:30"
11917,,False,0.6625129136669858,0.36125654450261785,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.733374628746521,0.6798903332985033,0.4852941176470588,0.21052631578947367,1.0,0.0,"Workplace,11:30-12:00"
11917,,True,0.6625129136669858,0.36125654450261785,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.733374628746521,0.6798903332985033,0.4852941176470588,0.21052631578947367,1.0,0.0,"Workplace,12:00-12:30"
11917,,False,0.6625129136669858,0.36125654450261785,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.733374628746521,0.6798903332985033,0.4852941176470588,0.21052631578947367,1.0,0.0,"Workplace,12:30-13:00"
11917,,False,0.6625129136669858,0.36125654450261785,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.733374628746521,0.6798903332985033,0.4852941176470588,0.21052631578947367,1.0,0.0,"Workplace,13:00-13:30"
3858,,False,0.407072448878971,0.3193717277486911,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.6083824112032703,0.5441176470588235,0.05263157894736842,1.0,0.8333333333333334,"Inside the CBD,11:00-11:30"
